date_time,date,time,irradiance,ambient_temp,wind_speed
2020-08-20 11:50:00+05:30,20-08-2020,11:50:00,190,30.5,4.25
2020-08-20 11:55:00+05:30,20-08-2020,11:55:00,190,30.54,4.18
2020-08-20 12:00:00+05:30,20-08-2020,12:00:00,190,30.59,4.1
2020-08-23 15:10:00+05:30,23-08-2020,15:10:00,220,29.01,10.14
2020-08-23 15:15:00+05:30,23-08-2020,15:15:00,220,28.98,10.15
2020-08-23 15:20:00+05:30,23-08-2020,15:20:00,220,28.94,10.15
2020-08-23 15:25:00+05:30,23-08-2020,15:25:00,220,28.91,10.16
2020-08-23 15:30:00+05:30,23-08-2020,15:30:00,190,28.88,10.17
2020-08-23 15:35:00+05:30,23-08-2020,15:35:00,190,28.84,10.16
2020-08-23 15:40:00+05:30,23-08-2020,15:40:00,190,28.8,10.15
2020-08-23 15:45:00+05:30,23-08-2020,15:45:00,190,28.77,10.15
2020-08-23 15:50:00+05:30,23-08-2020,15:50:00,190,28.73,10.14
2020-08-23 15:55:00+05:30,23-08-2020,15:55:00,190,28.7,10.13
2020-08-23 16:00:00+05:30,23-08-2020,16:00:00,190,28.66,10.13
2020-08-23 16:05:00+05:30,23-08-2020,16:05:00,190,28.63,10.12
2020-08-23 16:10:00+05:30,23-08-2020,16:10:00,190,28.59,10.12
2020-08-23 16:15:00+05:30,23-08-2020,16:15:00,190,28.56,10.11
2020-08-23 16:20:00+05:30,23-08-2020,16:20:00,190,28.52,10.1
2020-08-23 16:25:00+05:30,23-08-2020,16:25:00,190,28.49,10.1
2020-08-23 16:30:00+05:30,23-08-2020,16:30:00,159,28.45,10.09
2020-08-23 16:35:00+05:30,23-08-2020,16:35:00,159,28.46,10.15
2020-08-23 16:40:00+05:30,23-08-2020,16:40:00,159,28.47,10.2
2020-08-23 16:45:00+05:30,23-08-2020,16:45:00,159,28.48,10.26
2020-08-23 16:50:00+05:30,23-08-2020,16:50:00,159,28.48,10.31
2020-08-23 16:55:00+05:30,23-08-2020,16:55:00,159,28.49,10.37
2020-08-23 17:00:00+05:30,23-08-2020,17:00:00,159,28.5,10.42
2020-08-23 17:05:00+05:30,23-08-2020,17:05:00,159,28.51,10.48
2020-08-23 17:10:00+05:30,23-08-2020,17:10:00,159,28.52,10.53
2020-08-23 17:15:00+05:30,23-08-2020,17:15:00,159,28.53,10.58
2020-08-23 17:20:00+05:30,23-08-2020,17:20:00,159,28.54,10.64
2020-08-23 17:25:00+05:30,23-08-2020,17:25:00,159,28.54,10.69
2020-08-23 17:30:00+05:30,23-08-2020,17:30:00,166,28.55,10.75
2020-08-23 17:35:00+05:30,23-08-2020,17:35:00,166,28.47,10.73
2020-08-23 17:40:00+05:30,23-08-2020,17:40:00,166,28.39,10.71
2020-08-23 17:45:00+05:30,23-08-2020,17:45:00,166,28.3,10.69
2020-08-23 17:50:00+05:30,23-08-2020,17:50:00,166,28.22,10.67
2020-08-23 17:55:00+05:30,23-08-2020,17:55:00,166,28.14,10.65
2020-08-23 18:00:00+05:30,23-08-2020,18:00:00,166,28.05,10.63
2020-08-23 18:05:00+05:30,23-08-2020,18:05:00,166,27.97,10.61
2020-08-23 18:10:00+05:30,23-08-2020,18:10:00,166,27.89,10.59
2020-08-23 18:15:00+05:30,23-08-2020,18:15:00,166,27.8,10.57
2020-08-23 18:20:00+05:30,23-08-2020,18:20:00,166,27.72,10.55
2020-08-23 18:25:00+05:30,23-08-2020,18:25:00,166,27.63,10.53
2020-08-23 18:30:00+05:30,23-08-2020,18:30:00,10,27.55,10.51
2020-08-23 18:35:00+05:30,23-08-2020,18:35:00,10,27.53,10.6
2020-08-23 18:40:00+05:30,23-08-2020,18:40:00,10,27.51,10.68
2020-08-23 18:45:00+05:30,23-08-2020,18:45:00,10,27.49,10.77
2020-08-23 18:50:00+05:30,23-08-2020,18:50:00,10,27.47,10.86
2020-08-23 18:55:00+05:30,23-08-2020,18:55:00,10,27.45,10.94
2020-08-23 19:00:00+05:30,23-08-2020,19:00:00,10,27.42,11.03
2020-08-23 19:05:00+05:30,23-08-2020,19:05:00,10,27.4,11.11
2020-08-23 19:10:00+05:30,23-08-2020,19:10:00,10,27.38,11.2
2020-08-23 19:15:00+05:30,23-08-2020,19:15:00,10,27.36,11.28
2020-08-23 19:20:00+05:30,23-08-2020,19:20:00,10,27.34,11.37
2020-08-23 19:25:00+05:30,23-08-2020,19:25:00,10,27.32,11.46
2020-08-23 19:30:00+05:30,23-08-2020,19:30:00,0,27.3,11.54
2020-08-23 19:35:00+05:30,23-08-2020,19:35:00,0,27.24,11.61
2020-08-23 19:40:00+05:30,23-08-2020,19:40:00,0,27.17,11.67
2020-08-23 19:45:00+05:30,23-08-2020,19:45:00,0,27.11,11.74
2020-08-23 19:50:00+05:30,23-08-2020,19:50:00,0,27.05,11.81
2020-08-23 19:55:00+05:30,23-08-2020,19:55:00,0,26.99,11.87
2020-08-23 20:00:00+05:30,23-08-2020,20:00:00,0,26.92,11.94
2020-08-23 20:05:00+05:30,23-08-2020,20:05:00,0,26.86,12.01
